titulo,endereco,preco,area,quartos,banheiros,vagas,bairro
Apartamento em Nova Russia,"Rua Paula Xavier, 1013 - Nova Russia",150663,52,3,1,1,Nova Russia
Apartamento em Ronda,"Rua Balduino Taques, 2781 - Ronda",259560,86,3,2,1,Ronda
Apartamento em Olarias,"Av. Carlos Cavalcanti, 140 - Olarias",115633,50,3,1,1,Olarias
Apartamento em Centro,"Av. Vicente Machado, 2079 - Centro",898995,122,4,3,2,Centro
Apartamento em Centro,"Rua Comendador Miró, 2671 - Centro",476832,111,3,2,2,Centro
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2423 - Olarias",100075,47,1,1,0,Olarias
Apartamento em Boa Vista,"Rua Balduino Taques, 663 - Boa Vista",80807,30,1,1,0,Boa Vista
Apartamento em Vila Estrela,"Av. Vicente Machado, 891 - Vila Estrela",171296,71,2,2,1,Vila Estrela
Apartamento em Neves,"Av. Carlos Cavalcanti, 406 - Neves",99694,59,3,1,1,Neves
Apartamento em Chapada,"Rua do Rosario, 1093 - Chapada",62075,35,1,1,0,Chapada
Apartamento em Oficinas,"Rua do Rosario, 521 - Oficinas",307870,62,2,1,1,Oficinas
Apartamento em Jardim America,"Rua Paula Xavier, 2584 - Jardim America",89390,35,2,1,0,Jardim America
Apartamento em Chapada,"Rua Comendador Miró, 294 - Chapada",115611,56,2,1,1,Chapada
Apartamento em Oficinas,"Rua Paula Xavier, 336 - Oficinas",173826,74,2,2,1,Oficinas
Apartamento em Ronda,"Av. Carlos Cavalcanti, 1148 - Ronda",100974,50,2,1,1,Ronda
Apartamento em Santo Antonio,"Rua Paula Xavier, 676 - Santo Antonio",191770,95,3,2,1,Santo Antonio
Apartamento em Chapada,"Rua Comendador Miró, 1103 - Chapada",97078,39,1,1,0,Chapada
Apartamento em Uvaranas,"Av. Vicente Machado, 2197 - Uvaranas",116847,37,1,1,0,Uvaranas
Apartamento em Ronda,"Av. Carlos Cavalcanti, 1115 - Ronda",80012,30,2,1,0,Ronda
Apartamento em Olarias,"Rua Paula Xavier, 239 - Olarias",81934,57,2,1,1,Olarias
Apartamento em Ronda,"Rua Paula Xavier, 1653 - Ronda",176174,57,2,1,1,Ronda
Apartamento em Boa Vista,"Rua do Rosario, 2950 - Boa Vista",117966,49,2,1,0,Boa Vista
Apartamento em Neves,"Av. Carlos Cavalcanti, 1630 - Neves",56638,43,1,1,0,Neves
Apartamento em Santo Antonio,"Av. Vicente Machado, 1020 - Santo Antonio",157730,74,3,2,1,Santo Antonio
Apartamento em Olarias,"Rua Comendador Miró, 2404 - Olarias",88796,32,1,1,0,Olarias
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 1492 - Vila Estrela",422431,77,2,2,1,Vila Estrela
Apartamento em Ronda,"Av. Vicente Machado, 2097 - Ronda",127300,65,2,1,1,Ronda
Apartamento em Santa Paula,"Rua Balduino Taques, 459 - Santa Paula",239385,72,3,2,1,Santa Paula
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 1739 - Jardim Carvalho",295552,79,2,2,1,Jardim Carvalho
Apartamento em Uvaranas,"Rua do Rosario, 1927 - Uvaranas",201845,73,2,2,1,Uvaranas
Apartamento em Jardim Sabara,"Rua do Rosario, 57 - Jardim Sabara",107949,51,2,1,1,Jardim Sabara
Apartamento em Nova Russia,"Rua do Rosario, 1102 - Nova Russia",61367,38,1,1,0,Nova Russia
Apartamento em Neves,"Av. Carlos Cavalcanti, 657 - Neves",258301,82,3,2,1,Neves
Apartamento em Santo Antonio,"Rua Comendador Miró, 2957 - Santo Antonio",178294,73,3,2,1,Santo Antonio
Apartamento em Boa Vista,"Av. Vicente Machado, 2089 - Boa Vista",122729,44,1,1,0,Boa Vista
Apartamento em Nova Russia,"Rua Paula Xavier, 2627 - Nova Russia",239864,86,2,2,1,Nova Russia
Apartamento em Jardim Sabara,"Av. Vicente Machado, 1541 - Jardim Sabara",215006,87,2,2,1,Jardim Sabara
Apartamento em Estrela,"Rua do Rosario, 12 - Estrela",74821,85,2,2,1,Estrela
Apartamento em Neves,"Rua Balduino Taques, 1496 - Neves",125912,49,1,1,0,Neves
Apartamento em Contorno,"Av. Vicente Machado, 2333 - Contorno",77202,30,1,1,0,Contorno
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 293 - Uvaranas",139455,60,3,1,1,Uvaranas
Apartamento em Olarias,"Av. Vicente Machado, 2712 - Olarias",169386,46,1,1,0,Olarias
Apartamento em Santa Paula,"Av. Vicente Machado, 1095 - Santa Paula",85247,46,1,1,0,Santa Paula
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 877 - Jardim Sabara",193939,60,2,1,1,Jardim Sabara
Apartamento em Olarias,"Rua Comendador Miró, 833 - Olarias",130800,63,2,1,1,Olarias
Apartamento em Contorno,"Rua Comendador Miró, 2671 - Contorno",188169,73,2,2,1,Contorno
Apartamento em Chapada,"Rua do Rosario, 1859 - Chapada",94979,49,1,1,0,Chapada
Apartamento em Nova Russia,"Rua Balduino Taques, 1394 - Nova Russia",76520,35,1,1,0,Nova Russia
Apartamento em Centro,"Av. Vicente Machado, 2420 - Centro",538973,99,3,2,1,Centro
Apartamento em Ronda,"Rua Comendador Miró, 2594 - Ronda",125204,50,3,1,1,Ronda
Apartamento em Oficinas,"Rua Balduino Taques, 1363 - Oficinas",120908,58,2,1,1,Oficinas
Apartamento em Uvaranas,"Rua Paula Xavier, 2750 - Uvaranas",93484,42,1,1,0,Uvaranas
Apartamento em Santa Paula,"Av. Vicente Machado, 2972 - Santa Paula",144629,61,2,1,1,Santa Paula
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 1677 - Santa Paula",228510,57,2,1,1,Santa Paula
Apartamento em Orfãs,"Rua Comendador Miró, 1775 - Orfãs",244240,65,3,1,1,Orfãs
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2996 - Chapada",52109,54,2,1,1,Chapada
Apartamento em Oficinas,"Rua Comendador Miró, 413 - Oficinas",494871,139,3,3,2,Oficinas
Apartamento em Oficinas,"Rua Paula Xavier, 457 - Oficinas",241457,73,2,2,1,Oficinas
Apartamento em Ronda,"Rua do Rosario, 1847 - Ronda",93944,38,2,1,0,Ronda
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 1904 - Jardim Carvalho",812422,121,3,3,2,Jardim Carvalho
Apartamento em Ronda,"Rua Balduino Taques, 1825 - Ronda",128445,41,1,1,0,Ronda
Apartamento em Olarias,"Rua Comendador Miró, 2224 - Olarias",126778,35,2,1,0,Olarias
Apartamento em Centro,"Av. Carlos Cavalcanti, 1999 - Centro",1270141,216,4,4,3,Centro
