titulo,endereco,preco,area,quartos,banheiros,vagas,bairro,latitude,longitude,dist_escola,qtd_escola_500m,dist_hospital,qtd_hospital_500m,dist_parque,qtd_parque_500m,dist_farmacia,qtd_farmacia_500m,score_educacao,score_lazer,score_saude
Apartamento em Nova Russia,"Rua Paula Xavier, 1013 - Nova Russia",150663,52,3,1,1,Nova Russia,-25.08157257528476,-50.18281594443568,594.6423252468605,0,817.0328422565983,0,445.34041982266183,1,1659.7295389492335,0,1.4395897912564168,2.333717002537952,1.0904734857033467
Apartamento em Ronda,"Rua Balduino Taques, 2781 - Ronda",259560,86,3,2,1,Ronda,-25.09784192679237,-50.186356348507104,566.3262345055873,0,1596.5410961301425,0,1402.3965722635,0,2399.5021766303153,0,1.5007663637047068,0.6656032225189432,0.5894345868078456
Apartamento em Olarias,"Av. Carlos Cavalcanti, 140 - Olarias",115633,50,3,1,1,Olarias,-25.101308951380904,-50.13612870435762,438.97120135036045,1,887.8435505015349,0,1224.7355017353386,0,2169.584123788552,0,2.355386702470483,0.7548676688214734,1.0123060473414978
Apartamento em Centro,"Av. Vicente Machado, 2079 - Centro",898995,122,4,3,2,Centro,-25.093163859316807,-50.1662502041976,378.2133405426665,1,636.5456000546271,0,132.03417678258833,2,385.82109529002014,1,2.591116903734264,5.309709948190008,1.3576891911727302
Apartamento em Centro,"Rua Comendador Miró, 2671 - Centro",476832,111,3,2,2,Centro,-25.088785611821457,-50.16450104419352,540.2151039031008,0,280.5269449942801,1,490.5634475373717,1,180.66162943177582,2,1.5619750204321234,2.193298161560733,3.127934797140401
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2423 - Olarias",100075,47,1,1,0,Olarias,-25.0996864391227,-50.14611379390175,128.21846480606982,1,1308.260396372438,0,827.2979416208238,0,1199.177183619296,0,4.881766395851259,1.078402048700874,0.7100959471528966
Apartamento em Boa Vista,"Rua Balduino Taques, 663 - Boa Vista",80807,30,1,1,0,Boa Vista,-25.061494738663377,-50.15617689562729,485.3963966468792,1,789.2202017988798,0,892.9082494324365,0,758.206747601929,0,2.2082442012420116,1.0071424027060076,1.1245808383311742
Apartamento em Vila Estrela,"Av. Vicente Machado, 891 - Vila Estrela",171296,71,2,2,1,Vila Estrela,-25.111244565196078,-50.1480123201649,282.7825945364437,1,1542.1141178530004,0,722.9418017286395,0,2124.4086396658345,0,3.112448983504637,1.215152757946478,0.6089710752304235
Apartamento em Neves,"Av. Carlos Cavalcanti, 406 - Neves",99694,59,3,1,1,Neves,-25.052144789296285,-50.14245741256808,276.39413788055344,4,778.2208651186697,0,995.0665912729611,0,1427.3856968292305,0,4.656789517581021,0.9131864746577185,1.1386657271743081
Apartamento em Chapada,"Rua do Rosario, 1093 - Chapada",62075,35,1,1,0,Chapada,-25.03780989419875,-50.17169814905212,812.3038112041822,0,2467.187886946388,0,2061.071444584231,0,2430.8312816398634,0,1.0961260796226033,0.46273342906180054,0.3895312863872529
Apartamento em Oficinas,"Rua do Rosario, 521 - Oficinas",307870,62,2,1,1,Oficinas,-25.11113917407863,-50.14486329166822,440.214779477358,1,1775.2664826732264,0,936.835177903498,0,2251.698867699449,0,2.351115589557677,0.9644734489256245,0.5332575445887999
Apartamento em Jardim America,"Rua Paula Xavier, 2584 - Jardim America",89390,35,2,1,0,Jardim America,-25.10906726004551,-50.132644819033885,167.44682445619353,1,1072.5098026832154,0,1172.5497803870787,0,2909.353684168771,0,4.239061034032935,0.7858238753503414,0.8528713343901795
Apartamento em Chapada,"Rua Comendador Miró, 294 - Chapada",115611,56,2,1,1,Chapada,-25.03880226724096,-50.17353897795383,802.8049508421303,0,2435.7358390246877,0,1954.209546085353,0,2472.859768405117,0,1.107658967828219,0.4868052540723855,0.39436284513951064
Apartamento em Oficinas,"Rua Paula Xavier, 336 - Oficinas",173826,74,2,2,1,Oficinas,-25.117435247544705,-50.14492830230109,369.1545949295901,1,1348.2229692092885,0,581.3030012777118,0,2879.093681462443,0,2.6314935648239324,1.4677757152465285,0.6905014084578339
Apartamento em Ronda,"Av. Carlos Cavalcanti, 1148 - Ronda",100974,50,2,1,1,Ronda,-25.098253413490887,-50.17880064229003,565.3185484398075,0,1332.544922582035,0,1345.965187761155,0,1729.3678524836353,0,1.5030394122409947,0.6915795819042777,0.6980583884221856
Apartamento em Santo Antonio,"Rua Paula Xavier, 676 - Santo Antonio",191770,95,3,2,1,Santo Antonio,-25.06196644907572,-50.11930499789228,584.6369249614287,0,1807.5828007353798,0,827.5472146630494,0,3818.3851733761744,0,1.4606282009348799,1.0781122342793843,0.5242236403130163
Apartamento em Chapada,"Rua Comendador Miró, 1103 - Chapada",97078,39,1,1,0,Chapada,-25.04687420058516,-50.16410561287799,539.4139366979675,0,1314.2628391815367,0,851.524224774107,0,1167.6898398646665,0,1.5639321300442006,1.0509453926277086,0.7070821436407965
Apartamento em Uvaranas,"Av. Vicente Machado, 2197 - Uvaranas",116847,37,1,1,0,Uvaranas,-25.089131314577774,-50.12444983536807,199.23564937017068,1,1319.3562282866374,0,656.7838348488868,0,2231.1170568546295,0,3.8418478115986305,1.3213812900743025,0.7045447647819467
Apartamento em Ronda,"Av. Carlos Cavalcanti, 1115 - Ronda",80012,30,2,1,0,Ronda,-25.10258132793794,-50.18796666105301,386.720223368458,1,1358.2655304501006,0,1459.0692797330928,0,2769.36772974562,0,2.5545684193668237,0.6414083152040534,0.6857461683890623
