titulo,endereco,preco,area,quartos,banheiros,vagas,bairro,latitude,longitude
Apartamento em Nova Russia,"Rua Paula Xavier, 1013 - Nova Russia",150663,52,3,1,1,Nova Russia,-25.081572575284756,-50.182815944435674
Apartamento em Ronda,"Rua Balduino Taques, 2781 - Ronda",259560,86,3,2,1,Ronda,-25.09784192679237,-50.186356348507104
Apartamento em Olarias,"Av. Carlos Cavalcanti, 140 - Olarias",115633,50,3,1,1,Olarias,-25.101308951380904,-50.13612870435762
Apartamento em Centro,"Av. Vicente Machado, 2079 - Centro",898995,122,4,3,2,Centro,-25.093163859316807,-50.1662502041976
Apartamento em Centro,"Rua Comendador Miró, 2671 - Centro",476832,111,3,2,2,Centro,-25.088785611821457,-50.16450104419352
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2423 - Olarias",100075,47,1,1,0,Olarias,-25.0996864391227,-50.14611379390175
Apartamento em Boa Vista,"Rua Balduino Taques, 663 - Boa Vista",80807,30,1,1,0,Boa Vista,-25.061494738663377,-50.15617689562729
Apartamento em Vila Estrela,"Av. Vicente Machado, 891 - Vila Estrela",171296,71,2,2,1,Vila Estrela,-25.111244565196074,-50.1480123201649
Apartamento em Neves,"Av. Carlos Cavalcanti, 406 - Neves",99694,59,3,1,1,Neves,-25.052144789296285,-50.14245741256808
Apartamento em Chapada,"Rua do Rosario, 1093 - Chapada",62075,35,1,1,0,Chapada,-25.03780989419875,-50.17169814905212
Apartamento em Oficinas,"Rua do Rosario, 521 - Oficinas",307870,62,2,1,1,Oficinas,-25.11113917407863,-50.14486329166822
Apartamento em Jardim America,"Rua Paula Xavier, 2584 - Jardim America",89390,35,2,1,0,Jardim America,-25.10906726004551,-50.132644819033885
Apartamento em Chapada,"Rua Comendador Miró, 294 - Chapada",115611,56,2,1,1,Chapada,-25.03880226724096,-50.173538977953825
Apartamento em Oficinas,"Rua Paula Xavier, 336 - Oficinas",173826,74,2,2,1,Oficinas,-25.117435247544705,-50.14492830230109
Apartamento em Ronda,"Av. Carlos Cavalcanti, 1148 - Ronda",100974,50,2,1,1,Ronda,-25.098253413490887,-50.17880064229003
Apartamento em Santo Antonio,"Rua Paula Xavier, 676 - Santo Antonio",191770,95,3,2,1,Santo Antonio,-25.061966449075722,-50.11930499789228
Apartamento em Chapada,"Rua Comendador Miró, 1103 - Chapada",97078,39,1,1,0,Chapada,-25.046874200585158,-50.16410561287799
Apartamento em Uvaranas,"Av. Vicente Machado, 2197 - Uvaranas",116847,37,1,1,0,Uvaranas,-25.089131314577774,-50.12444983536807
Apartamento em Ronda,"Av. Carlos Cavalcanti, 1115 - Ronda",80012,30,2,1,0,Ronda,-25.10258132793794,-50.187966661053004
Apartamento em Olarias,"Rua Paula Xavier, 239 - Olarias",81934,57,2,1,1,Olarias,-25.099903743790584,-50.14457749888977
Apartamento em Ronda,"Rua Paula Xavier, 1653 - Ronda",176174,57,2,1,1,Ronda,-25.097320605123883,-50.18232580503408
Apartamento em Boa Vista,"Rua do Rosario, 2950 - Boa Vista",117966,49,2,1,0,Boa Vista,-25.062236629177864,-50.16129019029035
Apartamento em Neves,"Av. Carlos Cavalcanti, 1630 - Neves",56638,43,1,1,0,Neves,-25.05335114474692,-50.145165768731104
Apartamento em Santo Antonio,"Av. Vicente Machado, 1020 - Santo Antonio",157730,74,3,2,1,Santo Antonio,-25.061938396691467,-50.11394044925245
Apartamento em Olarias,"Rua Comendador Miró, 2404 - Olarias",88796,32,1,1,0,Olarias,-25.100911044563738,-50.141178584974526
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 1492 - Vila Estrela",422431,77,2,2,1,Vila Estrela,-25.110112378874224,-50.14815984362536
Apartamento em Ronda,"Av. Vicente Machado, 2097 - Ronda",127300,65,2,1,1,Ronda,-25.099828229465466,-50.186648648354215
Apartamento em Santa Paula,"Rua Balduino Taques, 459 - Santa Paula",239385,72,3,2,1,Santa Paula,-25.132960747828253,-50.18107906104994
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 1739 - Jardim Carvalho",295552,79,2,2,1,Jardim Carvalho,-25.073630793859603,-50.15306083262376
Apartamento em Uvaranas,"Rua do Rosario, 1927 - Uvaranas",201845,73,2,2,1,Uvaranas,-25.08712735479512,-50.13150768212272
Apartamento em Jardim Sabara,"Rua do Rosario, 57 - Jardim Sabara",107949,51,2,1,1,Jardim Sabara,-25.044389461461957,-50.176917295519786
Apartamento em Nova Russia,"Rua do Rosario, 1102 - Nova Russia",61367,38,1,1,0,Nova Russia,-25.083376633118974,-50.18570895575284
Apartamento em Neves,"Av. Carlos Cavalcanti, 657 - Neves",258301,82,3,2,1,Neves,-25.04680540824845,-50.142773300416614
Apartamento em Santo Antonio,"Rua Comendador Miró, 2957 - Santo Antonio",178294,73,3,2,1,Santo Antonio,-25.061521186171472,-50.11982778171518
Apartamento em Boa Vista,"Av. Vicente Machado, 2089 - Boa Vista",122729,44,1,1,0,Boa Vista,-25.056677803951363,-50.15810375729893
Apartamento em Nova Russia,"Rua Paula Xavier, 2627 - Nova Russia",239864,86,2,2,1,Nova Russia,-25.079085677178252,-50.17622333324322
