titulo,endereco,preco,area,quartos,banheiros,vagas,bairro,latitude,longitude,dist_escola,qtd_escola_500m,dist_hospital,qtd_hospital_500m,dist_parque,qtd_parque_500m,dist_farmacia,qtd_farmacia_500m,score_educacao,score_lazer,score_saude,preco_m2,log_preco,log_area,bairro_Centro,bairro_Chapada,bairro_Contorno,bairro_Estrela,bairro_Jardim America,bairro_Jardim Carvalho,bairro_Jardim Sabara,bairro_Neves,bairro_Nova Russia,bairro_Oficinas,bairro_Olarias,bairro_Orfãs,bairro_Ronda,bairro_Santa Paula,bairro_Santo Antonio,bairro_Uvaranas,bairro_Vila Estrela
Apartamento em Nova Russia,"Rua Paula Xavier, 1013 - Nova Russia",150663,52,3,1,1,Nova Russia,-25.08157257528476,-50.18281594443568,594.6423252468605,0,817.0328422565983,0,445.3404198226618,1,1659.7295389492335,0,1.4395897912564168,2.333717002537952,1.090473485703347,2897.3653846153848,11.922807470874583,3.970291913552122,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Apartamento em Ronda,"Rua Balduino Taques, 2781 - Ronda",259560,86,3,2,1,Ronda,-25.09784192679237,-50.186356348507104,566.3262345055873,0,1596.5410961301425,0,1402.3965722635,0,2399.5021766303157,0,1.5007663637047068,0.6656032225189432,0.5894345868078456,3018.139534883721,12.466747021401439,4.465908118654584,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Apartamento em Olarias,"Av. Carlos Cavalcanti, 140 - Olarias",115633,50,3,1,1,Olarias,-25.101308951380904,-50.13612870435762,438.9712013503605,1,887.8435505015349,0,1224.7355017353386,0,2169.584123788552,0,2.355386702470483,0.7548676688214734,1.0123060473414978,2312.66,11.658185309623358,3.9318256327243257,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Apartamento em Centro,"Av. Vicente Machado, 2079 - Centro",898995,122,4,3,2,Centro,-25.093163859316807,-50.1662502041976,378.2133405426665,1,636.5456000546271,0,132.03417678258833,2,385.82109529002014,1,2.591116903734264,5.309709948190008,1.3576891911727302,7368.811475409836,13.70903386405565,4.812184355372417,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Apartamento em Centro,"Rua Comendador Miró, 2671 - Centro",476832,111,3,2,2,Centro,-25.088785611821457,-50.16450104419352,540.2151039031008,0,280.5269449942801,1,490.5634475373717,1,180.66162943177585,2,1.5619750204321234,2.193298161560733,3.127934797140401,4295.783783783784,13.074921603747674,4.718498871295094,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2423 - Olarias",100075,47,1,1,0,Olarias,-25.0996864391227,-50.14611379390175,128.21846480606982,1,1308.260396372438,0,827.2979416208238,0,1199.177183619296,0,4.881766395851259,1.078402048700874,0.7100959471528966,2129.255319148936,11.51368517631647,3.8712010109078907,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Apartamento em Boa Vista,"Rua Balduino Taques, 663 - Boa Vista",80807,30,1,1,0,Boa Vista,-25.061494738663377,-50.15617689562729,485.3963966468792,1,789.2202017988798,0,892.9082494324365,0,758.206747601929,0,2.208244201242012,1.0071424027060076,1.1245808383311742,2693.5666666666666,11.29983124950902,3.4339872044851463,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Apartamento em Vila Estrela,"Av. Vicente Machado, 891 - Vila Estrela",171296,71,2,2,1,Vila Estrela,-25.11124456519608,-50.1480123201649,282.7825945364437,1,1542.1141178530004,0,722.9418017286395,0,2124.4086396658345,0,3.112448983504637,1.215152757946478,0.6089710752304235,2412.6197183098593,12.051154171024004,4.276666119016055,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Apartamento em Neves,"Av. Carlos Cavalcanti, 406 - Neves",99694,59,3,1,1,Neves,-25.052144789296285,-50.14245741256808,276.39413788055344,4,778.2208651186697,0,995.0665912729612,0,1427.3856968292305,0,4.656789517581021,0.9131864746577184,1.138665727174308,1689.7288135593221,11.509870804241,4.0943445622221,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Apartamento em Chapada,"Rua do Rosario, 1093 - Chapada",62075,35,1,1,0,Chapada,-25.03780989419875,-50.17169814905212,812.3038112041822,0,2467.187886946388,0,2061.071444584231,0,2430.8312816398634,0,1.0961260796226031,0.4627334290618005,0.3895312863872529,1773.5714285714287,11.036114719791515,3.58351893845611,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
